"Código";"Descripción";"Proveedor";"Familia";"Curva de talles";"Categoría";"Clasificación";"Tipo"
"TDJ10561918E";"JEAN LIPA T-ALTO REG 5 BOLS LINEA 747";"01";"02";"02";"01";"10";"10"
"TDJ10561918EOFF";"FALLA JEAN LIPA T-ALTO REG 5 BOLS LINEA 747";"01";"02";"02";"01";"10";"10"
"TDJ10563235";"JEAN SASHIKO T-ALTO CALCE REG.";"01";"02";"02";"01";"10";"10"
"TDJ10569204";"JEAN DIVE T-ALTO CALCE REG.";"01";"02";"02";"01";"10";"10"
"TDJ10569237";"JEAN DIVE T-ALTO CALCE REG.";"01";"02";"02";"01";"10";"10"
"TDJ10569523";"JEAN DIVE T-ALTO CALCE REG.";"01";"02";"02";"01";"10";"10"
"TDJ10583235";"JEAN VIOLETTE T-MEDIO SLIM";"01";"02";"02";"01";"11";"08"
"TDJ10583536";"JEAN VIOLETTE T-MEDIO SLIM";"01";"02";"02";"01";"11";"08"
"TDJ10583536OFF";"FALLA JEAN VIOLETTE T-MEDIO SLIM";"01";"02";"02";"01";"11";"08"
"TDJ10585602";"JEAN WORDL T-MEDIO MODA SKINNY DET.ENGOM";"01";"02";"02";"01";"12";"08"
"TDJ10811205";"JEAN REFUGIO T MEDIO CHUPIN";"01";"02";"02";"01";"12";"08"
"TDJ10811236";"JEAN REFUGIO T-MEDIO CALCE SKINNY";"01";"02";"02";"01";"12";"08"
"TDJ11083602";"JEAN CARGO BEAT ENERGY T-INTER SKINNY";"01";"02";"02";"01";"12";"12"
"TDJ11329920";"JEAN CANDY CALCE MUM T-MEDIO LOOSE";"01";"02";"02";"01";"99";"08"
"TDJ11333525";"JEAN ENERGY T-MEDIO SKINNY BASICO";"01";"02";"02";"01";"12";"08"
"TDJ11333570";"JEAN ENERGY T-MEDIO SKINNY BASICO";"01";"02";"02";"01";"12";"08"
"TDJ11351235";"JEAN MAISHA T-ALTO CALCE SLIM ELASTIZADO";"01";"02";"02";"01";"11";"10"
"TDJ11359712";"JEAN CARA T-MEDIO SLIM ELAST";"01";"02";"02";"01";"11";"08"
"TDJ11371523";"JEAN ENERGY ETONIAN T-INTER CALCE SKINNY";"01";"02";"02";"01";"12";"09"
"TDJ11373708";"JEAN PARK T-ALTO SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11373708OFF";"OFF JEAN PARK T-ALTO SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11373920";"JEAN PARK T-ALTO SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11375525";"JEAN PROMESSE T-MEDIO CALCE SKINNY";"01";"02";"02";"01";"12";"08"
"TDJ11377711";"JEAN SUPREMO T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11377712";"JEAN SUPREMO T-ALTO CALCE SKINNY ELAST";"01";"02";"02";"01";"12";"10"
"TDJ11377920";"JEAN SUPREMO T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11379570";"JEAN BONNET T-ALTO LOOSE";"01";"02";"02";"01";"13";"10"
"TDJ11383205";"JEAN ROMEO T-ALTO LOOSE BOTA WIDE EUFORICA";"01";"02";"02";"01";"99";"10"
"TDJ11383525";"JEAN ROMEO T-ALTO LOOSE BOTA WIDE EUFORICA";"01";"02";"02";"01";"99";"10"
"TDJ11383920";"JEAN ROMEO T-ALTO LOOSE BOTA WIDE EUFORICA";"01";"02";"02";"01";"99";"10"
"TDJ11385206";"JEAN ARWEN T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11411712";"JEAN ZULU T-ALTO WIDE";"01";"02";"02";"01";"99";"10"
"TDJ11421234";"JEAN DOJO T-MEDIO CALCE REG.";"01";"02";"02";"01";"10";"08"
"TDJ11421234OFF";"FALLA JEAN DOJO T-MEDIO CALCE REG.";"01";"02";"02";"01";"10";"08"
"TDJ11425208";"JEAN PEGGY ENERGY T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11425523";"JEAN PEGGY ENERGY T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11425525";"JEAN PEGGY ENERGY T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11427525";"JEAN SINTONIA ENERGY T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11427536";"JEAN SINTONIA ENERGY T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11427536OFF";"FALLA JEAN SINTONIA ENERGY T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11427711";"JEAN SINTONIA ENERGY T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11431236";"JEAN SAPHIR T-MEDIO REG";"01";"02";"02";"01";"10";"08"
"TDJ11431236E";"JEAN SAPHIR T-MEDIO REG";"01";"02";"02";"01";"10";"08"
"TDJ11431236OFF";"FALLA JEAN SAPHIR T-MEDIO REG";"01";"02";"02";"01";"10";"08"
"TDJ11431711";"JEAN SAPHIR T-MEDIO REG";"01";"02";"02";"01";"10";"08"
"TDJ11431711E";"JEAN SAPHIR T-MEDIO REG";"01";"02";"02";"01";"10";"08"
"TDJ11441570";"JEAN JEIZA T-ALTO CALCE REG.";"01";"02";"02";"01";"10";"10"
"TDJ11443920";"JEAN AMARILIS T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11443921";"JEAN AMARILIS T-ALTO CALCE SKINNY";"01";"02";"02";"01";"12";"10"
"TDJ11445235";"JEAN BIBIER T-ALTO SKINNY ELAST";"01";"02";"02";"01";"12";"10"
"TDJ11445520";"JEAN BIBIER T-ALTO SKINNY ELAST";"01";"02";"02";"01";"12";"10"
"TDJ11445920";"JEAN BIBIER T-ALTO SKINNY ELAST";"01";"02";"02";"01";"12";"10"
"TDJ11451712";"JEAN AWAY T-INTER";"01";"02";"02";"01";"99";"09"
"TDJ11453525";"JEAN MANDRAGORA T-ALTO SLIM LINEA 747";"01";"02";"02";"01";"11";"10"
"TDJ11453525E";"JEAN MANDRAGORA T-ALTO SLIM LINEA 747";"01";"02";"02";"01";"11";"10"
